title,date
The Ultimate Fighter 1 Finale,2026-03-01
The Ultimate Fighter 2 Finale,2026-03-01
The Ultimate Fighter 3 Finale,2026-03-01
The Ultimate Fighter 4 Finale,2026-03-01
The Ultimate Fighter 5 Finale,2026-03-01
The Ultimate Fighter: Heavyweights Finale,2026-03-01
The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2013-02-01
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01
UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19
UFC Fight Night: Cejudo vs. Song,2025-02-22
UFC Fight Night: Chiesa vs. Lee,2017-06-25
UFC Fight Night: Condit vs. Alves,2015-05-30
UFC Fight Night: Condit vs. Kampmann,2009-04-01
UFC Fight Night: Condit vs. Kampmann 2,2013-08-28
UFC Fight Night: Costa vs. Vettori,2021-10-23
UFC Fight Night: Covington vs. Woodley,2020-09-19
UFC Fight Night: Cowboy vs. Cowboy,2016-02-21
UFC Fight Night: Cowboy vs. Edwards,2018-06-23
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14
UFC Fight Night: Cowboy vs. Medeiros,2018-02-18
UFC Fight Night: Cowboy vs. Miller,2014-07-16
UFC Fight Night: Cowboy vs. Till,2017-10-21
UFC Fight Night: Cyborg vs. Länsberg,2016-09-24
UFC Fight Night: Dawson vs. Green,2023-10-07
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02
UFC Fight Night: Dern vs. Hill,2023-05-20
UFC Fight Night: Dern vs. Ribas 2,2025-01-11
UFC Fight Night: Dern vs. Rodriguez,2021-10-09
UFC Fight Night: Dern vs. Yan,2022-10-01
UFC Fight Night: Diaz vs. Guillard,2009-09-16
UFC Fight Night: Diaz vs. Neer,2008-09-17
UFC Fight Night: Dillashaw vs. Cruz,2016-01-17
UFC Fight Night: Dolidze vs. Imavov,2024-02-03
UFC Fight Night: Edgar vs. Faber,2015-05-16
UFC Fight Night: Edgar vs. Swanson,2014-11-22
UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21
UFC Fight Night: Edwards vs. Brady,2025-03-22
UFC Fight Night: Edwards vs. Muhammad,2021-03-13
UFC Fight Night: Emmett vs. Vallejos,2026-03-14
UFC Fight Night: Evans vs. Salmon,2007-01-25
UFC Fight Night: Evloev vs. Murphy,2026-03-21
UFC Fight Night: Felder vs. Hooker,2020-02-23
UFC Fight Night: Felder vs. dos Anjos,2020-11-14
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19
UFC Fight Night: Fiziev vs. Gamrot,2023-09-23
UFC Fight Night: Fiziev vs. Torres,2026-06-27
UFC Fight Night: Florian vs. Gomi,2010-03-31
UFC Fight Night: Florian vs. Lauzon,2008-04-02
UFC Fight Night: Font vs. Garbrandt,2021-05-22
UFC Fight Night: Gaethje vs. Vick,2018-08-25
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08
UFC Fight Night: Gane vs. Spivac,2023-09-02
UFC Fight Night: Gane vs. Tuivasa,2022-09-03
UFC Fight Night: Gane vs. Volkov,2021-06-26
UFC Fight Night: Garcia vs. Onama,2025-11-01
UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11
UFC Fight Night: Grasso vs. Araújo,2022-10-15
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16
UFC Fight Night: Gustafsson vs. Manuwa,2022-04-01
UFC Fight Night: Gustafsson vs. Smith,2019-06-01
UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28
UFC Fight Night: Hall vs. Silva,2020-10-31
UFC Fight Night: Henderson vs. Khabilov,2014-06-07
UFC Fight Night: Henderson vs. Masvidal,2015-11-28
UFC Fight Night: Henderson vs. Thatch,2015-02-14
UFC Fight Night: Henderson vs. dos Anjos,2014-08-23
UFC Fight Night: Hendricks vs. Thompson,2016-02-06
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10
UFC Fight Night: Hermansson vs. Strickland,2022-02-05
UFC Fight Night: Hernandez vs. Pereira,2024-10-19
UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22
UFC Fight Night: Holloway vs. Oliveira,2015-08-23
UFC Fight Night: Holloway vs. Rodríguez,2021-11-13
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
UFC Fight Night: Holm vs. Correia,2017-06-17
UFC Fight Night: Holm vs. Vieira,2022-05-21
UFC Fight Night: Holohan vs. Smolka,2022-04-01
UFC Fight Night: Hooker vs. Parnasse,2026-09-05
UFC Fight Night: Hunt vs. Bigfoot,2020-06-01
UFC Fight Night: Hunt vs. Mir,2020-06-01
UFC Fight Night: Hunt vs. Nelson,2014-09-20
UFC Fight Night: Hunt vs. Oleinik,2018-09-15
UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04
UFC Fight Night: Imavov vs. Borralho,2025-09-06
UFC Fight Night: Jacaré vs. Hermansson,2019-04-27
UFC Fight Night: Jacaré vs. Mousasi,2014-09-05
