lo,hi,disc_n,disc_low_winrate,rep_n,rep_low_winrate,disc_p,rep_p,family,disc_q,replicated
"5'6""","5'7""",43,0.46511627906976744,79,0.569620253164557,0.7607916425613439,0.2604255258972435,height_in,0.9447811273503343,False
"5'8""","5'10""",65,0.47692307692307695,71,0.4647887323943662,0.8043170001933984,0.6353076420876663,height_in,0.9447811273503343,False
"5'10""","6'0""",71,0.4788732394366197,61,0.3770491803278688,0.8125886494061619,0.07217743850092258,height_in,0.9447811273503343,False
6-8 fights,12-14 fights,83,0.4819277108433735,171,0.5497076023391813,0.8264047244491927,0.22101124863970736,ufc_fights_bucket,0.9447811273503343,False
24-26,30-32,224,0.49107142857142855,233,0.6180257510729614,0.841188185552688,0.0003815656965002515,age_bucket(3y),0.9447811273503343,False
"5'9""","5'10""",115,0.48695652173913045,87,0.5287356321839081,0.8521555266297133,0.6682849967188083,height_in,0.9447811273503343,False
21-23,30-32,72,0.4861111111111111,60,0.6333333333333333,0.906294324703081,0.051893895928921435,age_bucket(3y),0.9655754831052109,False
9-11 fights,12-14 fights,76,0.4868421052631579,165,0.5393939393939394,0.9087769252754927,0.3502343653830734,ufc_fights_bucket,0.9655754831052109,False
66-67in,70-71in,70,0.5,71,0.5492957746478874,1.0,0.47668779343427553,reach_bucket(2in),1.0,False
"6'1""","6'2""",89,0.4943820224719101,59,0.423728813559322,1.0,0.2975952082844287,height_in,1.0,False
"5'9""","5'11""",57,0.49122807017543857,59,0.4406779661016949,1.0,0.43499280512215344,height_in,1.0,False
