,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|25.0",7886,2024-10-26,3.129042617645126,1.5812333465241961,1.8187039120707071,0.6554213396267731,a
"near close, 5% margin|25.0",7898,2024-11-02,1.103250504811378,2.6314415423303714,-1.103250504811378,0.3936997107621316,b
"near close, 5% margin|25.0",7901,2024-11-02,4.484621145791067,1.7132293165135954,3.19856327463498,0.6210326050559715,a
"near close, 5% margin|25.0",7906,2024-11-02,0.5889292487553859,3.090334558214505,1.2310591610166899,0.33155671786304153,b
"near close, 5% margin|25.0",7911,2024-11-09,1.6738973946685516,3.6268915414799867,-1.6738973946685516,0.29996566638528677,b
"near close, 5% margin|25.0",7937,2024-11-23,1.926432000841015,2.07713868591106,-1.926432000841015,0.5014112421775258,a
"near close, 5% margin|25.0",7949,2024-12-07,1.6449967093040414,1.6990811895639626,1.1499862563690733,0.6020899598034601,a
"near close, 5% margin|25.0",7952,2024-12-07,2.1585509928803415,2.571330389978787,-2.1585509928803415,0.4152853867516592,a
"near close, 5% margin|25.0",7956,2024-12-07,1.29351531457309,2.125148716397012,1.4553970958317897,0.48425220031725147,b
"near close, 5% margin|25.0",7964,2024-12-14,0.9753641841561599,3.1376452297443542,-0.9753641841561599,0.33200045755184776,a
"near close, 5% margin|25.0",7978,2025-01-11,1.6877274083116363,5.428638948310329,-1.6877274083116363,0.21174491758185068,a
"near close, 5% margin|25.0",7991,2025-01-18,3.5664144190670384,3.05125191949732,7.315614422834183,0.37568588851409335,b
"near close, 5% margin|25.0",8007,2025-02-01,5.0,2.192226898002629,5.961134490013144,0.5166885975297989,a
"near close, 5% margin|25.0",8011,2025-02-01,2.9899957558905768,2.3511064822778955,4.0398026477671545,0.4596967687776531,b
"near close, 5% margin|25.0",8013,2025-02-08,1.1931994251991187,2.701650117066307,2.030407941573531,0.3851750277572789,a
"near close, 5% margin|25.0",8015,2025-02-08,1.7554122075996363,3.7104083133469015,-1.7554122075996363,0.2951582640856872,a
"near close, 5% margin|25.0",8020,2025-02-08,3.6222206940610477,2.183036065500073,-3.6222206940610477,0.49733688394964465,a
"near close, 5% margin|25.0",8032,2025-02-15,4.716951965707769,1.4251646825396824,-4.716951965707769,0.7298171505678893,a
"near close, 5% margin|25.0",8043,2025-02-22,0.5845349898335023,2.833551603291757,-0.5845349898335023,0.36047887752218033,b
"near close, 5% margin|25.0",8056,2025-03-01,1.2786272642366816,1.8314477752590985,1.0631117942352164,0.5576256389512523,a
"near close, 5% margin|25.0",8057,2025-03-01,2.6537190051291466,2.7404214488285077,-2.6537190051291466,0.39861452331749414,b
"near close, 5% margin|25.0",8061,2025-03-08,1.4822980643197086,2.108155238402207,1.6426163648493364,0.4899318173930096,a
"near close, 5% margin|25.0",8062,2025-03-08,0.8898254929130616,2.24997001695773,-0.8898254929130616,0.45433721161828444,b
"near close, 5% margin|25.0",8064,2025-03-08,3.415567069314628,1.7239887640449436,-3.415567069314628,0.6087375193549436,b
"near close, 5% margin|25.0",8069,2025-03-15,2.702543121165742,1.5880027119725613,-2.702543121165742,0.6497357000150972,a
