page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/edson-barboza-2099,UFC 197: Jones vs. Saint Preux,/events/ufc-197-jones-vs-saint-preux-1080,2016-04-23,Edson Barboza,/fighters/edson-barboza-2099,140.0,155.0,165.0,"2.4, 2.3, 2.35, 2.35, 2.425, 2.5, 2.475, 2.55, 2.55, 2.6",Anthony Pettis,/fighters/anthony-pettis-1171,-180.0,-190.0,-180.0
/fighters/edson-barboza-2099,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,/events/ufc-the-ultimate-fighter-22-finale-edgar-vs-mendes-1011,2015-12-11,Edson Barboza,/fighters/edson-barboza-2099,-110.0,130.0,140.0,"1.90909, 2.25, 2.35, 2.3, 2.4, 2.45, 2.5, 2.475, 2.5, 2.35",Tony Ferguson,/fighters/tony-ferguson-2568,-130.0,-160.0,-150.0
/fighters/edson-barboza-2099,UFC on FOX 16: Dillashaw vs. Barao 2,/events/ufc-on-fox-16-dillashaw-vs-barao-2-967,2015-07-25,Edson Barboza,/fighters/edson-barboza-2099,-175.0,-160.0,-155.0,"1.57143, 1.854545, 1.76923, 1.727515, 1.71429, 1.68966, 1.701975, 1.71429, 1.74074, 1.63508",Paul Felder,/fighters/paul-felder-5116,135.0,135.0,140.0
/fighters/edson-barboza-2099,UFC Fight Night 61: Bigfoot vs. Mir,/events/ufc-fight-night-61-bigfoot-vs-mir-923,2015-02-22,Edson Barboza,/fighters/edson-barboza-2099,-140.0,-135.0,-132.0,"1.71429, 1.63895, 1.7152, 1.678165, 1.651805, 1.625, 1.62561, 1.60662, 1.571845, 1.74916",Michael Johnson,/fighters/michael-johnson-2219,100.0,112.0,125.0
/fighters/edson-barboza-2099,UFC Fight Night 57: Edgar vs. Swanson,/events/ufc-fight-night-57-edgar-vs-swanson-892,2014-11-22,Edson Barboza,/fighters/edson-barboza-2099,-115.0,-150.0,-150.0,"1.86957, 1.787035, 1.816665, 1.834785, 1.910975, 1.834785, 1.816665, 1.8, 1.701975, 1.66667",Bobby Green,/fighters/bobby-green-1060,-125.0,130.0,140.0
/fighters/edson-barboza-2099,UFC Fight Night 45: Cerrone vs. Miller,/events/ufc-fight-night-45-cerrone-vs-miller-826,2014-07-16,Edson Barboza,/fighters/edson-barboza-2099,-280.0,-320.0,-300.0,"1.35714, 1.44444, 1.44004, 1.42147, 1.416845, 1.408845, 1.405075, 1.39231, 1.38182, 1.322915",Evan Dunham,/fighters/evan-dunham-704,200.0,250.0,260.0
/fighters/edson-barboza-2099,UFC on FOX 11: Werdum vs. Browne,/events/ufc-on-fox-11-werdum-vs-browne-779,2014-04-19,Edson Barboza,/fighters/edson-barboza-2099,100.0,-175.0,-170.0,"2, 1.90909, 1.930735, 1.88933, 1.83333, 1.8265, 1.8, 1.784615, 1.74916, 1.579835",Donald Cerrone,/fighters/donald-cerrone-220,-140.0,150.0,160.0
/fighters/edson-barboza-2099,UFC on FOX 9: Johnson vs. Benavidez,/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,Edson Barboza,/fighters/edson-barboza-2099,-315.0,-290.0,-280.0,"1.31746, 1.3125, 1.322915, 1.33333, 1.33908, 1.345235, 1.33908, 1.336155, 1.323335, 1.350985",Danny Castillo,/fighters/danny-castillo-727,235.0,230.0,255.0
/fighters/edson-barboza-2099,UFC 162: Silva vs. Weidman,/events/ufc-162-silva-vs-weidman-661,2013-07-06,Edson Barboza,/fighters/edson-barboza-2099,-535.0,-615.0,-600.0,"1.18692, 1.16667, 1.18182, 1.174245, 1.183505, 1.17593, 1.171055, 1.17863, 1.171055, 1.164635",Rafaello Oliveira,/fighters/rafaello-oliveira-1456,355.0,440.0,500.0
/fighters/edson-barboza-2099,UFC on FX 7: Belfort vs. Bisping,/events/ufc-on-fx-7-belfort-vs-bisping-612,2013-01-19,Edson Barboza,/fighters/edson-barboza-2099,-325.0,-320.0,-300.0,"1.30769, 1.33333, 1.345235, 1.35714, 1.350985, 1.33482, 1.322915, 1.33333, 1.33908, 1.322915",Lucas Martins,/fighters/lucas-martins-3816,250.0,250.0,290.0
