fm_path,name,sherdog
/fighter-profile/Jake%20Collier/85837/,Jake Collier,http://www.sherdog.com/fighter/Jake-Collier-83599
/fighter-profile/Alexander%20Romanov/169037/,Alexander Romanov,http://www.sherdog.com/fighter/Alexander-Romanov-242931
/fighter-profile/Alistair%20Overeem/454/,Alistair Overeem,http://www.sherdog.com/fighter/Alistair-Overeem-461
/fighter-profile/Walt%20Harris/73529/,Walt Harris,http://www.sherdog.com/fighter/Walt-Harris-72046
/fighter-profile/Greg%20Hardy/182932/,Greg Hardy,http://www.sherdog.com/fighter/Greg-Hardy-271461
/fighter-profile/Fabricio%20Werdum/14357/,Fabricio Werdum,http://www.sherdog.com/fighter/Fabricio-Werdum-8390
/fighter-profile/Stefan%20Struve/26965/,Stefan Struve,http://www.sherdog.com/fighter/Stefan-Struve-15063
/fighter-profile/Roy%20Nelson/22211/,Roy Nelson,http://www.sherdog.com/fighter/Roy-Nelson-10249
/fighter-profile/Tim%20Johnson/74311/,Tim Johnson,http://www.sherdog.com/fighter/Tim-Johnson-72706
/fighter-profile/Ante%20Delija/77435/,Ante Delija,http://www.sherdog.com/fighter/Ante-Delija-75487
/fighter-profile/Augusto%20Sakai/89398/,Augusto Sakai,http://www.sherdog.com/fighter/Augusto-Sakai-87303
/fighter-profile/Alexey%20Oleynik/2009/,Alexey Oleynik,http://www.sherdog.com/fighter/Alexey-Oleynik-2027
/fighter-profile/Jared%20Vanderaa/124784/,Jared Vanderaa,http://www.sherdog.com/fighter/Jared-Vanderaa-152987
/fighter-profile/Carlos%20Felipe/140802/,Carlos Felipe,http://www.sherdog.com/fighter/Carlos-Felipe-185021
/fighter-profile/Stipe%20Miocic/32099/,Stipe Miocic,http://www.sherdog.com/fighter/Stipe-Miocic-39537
/fighter-profile/Daniel%20Cormier/55077/,Daniel Cormier,http://www.sherdog.com/fighter/Daniel-Cormier-52311
/fighter-profile/Chael%20Sonnen/10097/,Chael Sonnen,http://www.sherdog.com/fighter/Chael-Sonnen-4112
/fighter-profile/Vitor%20Belfort/154/,Vitor Belfort,http://www.sherdog.com/fighter/Vitor-Belfort-156
/fighter-profile/Rashad%20Evans/22162/,Rashad Evans,http://www.sherdog.com/fighter/Rashad-Evans-10200
/fighter-profile/Lyoto%20Machida/13483/,Lyoto Machida,http://www.sherdog.com/fighter/Lyoto-Machida-7513
/fighter-profile/Quinton%20Jackson/345/,Quinton Jackson,http://www.sherdog.com/fighter/Quinton-Jackson-348
/fighter-profile/Mauricio%20Rua/11684/,Mauricio Rua,http://www.sherdog.com/fighter/Mauricio-Rua-5707
/fighter-profile/Ryan%20Bader/3090/,Ryan Bader,http://www.sherdog.com/fighter/Ryan-Bader-22858
/fighter-profile/Vladimir%20Matyushenko/428/,Vladimir Matyushenko,http://www.sherdog.com/fighter/Vladimir-Matyushenko-435
/fighter-profile/Brandon%20Vera/10866/,Brandon Vera,http://www.sherdog.com/fighter/Brandon-Vera-4886
/fighter-profile/Matt%20Hamill/34590/,Matt Hamill,http://www.sherdog.com/fighter/Matt-Hamill-16695
/fighter-profile/Jake%20OBrien/26795/,Jake OBrien,http://www.sherdog.com/fighter/Jake-OBrien-14892
/fighter-profile/Stephan%20Bonnar/2992/,Stephan Bonnar,http://www.sherdog.com/fighter/Stephan-Bonnar-3014
/fighter-profile/Andre%20Gusmao/33714/,Andre Gusmao,http://www.sherdog.com/fighter/Andre-Gusmao-15806
/fighter-profile/Tallison%20Teixeira/248719/,Tallison Teixeira,http://www.sherdog.com/fighter/Tallison-Teixeira-394342
/fighter-profile/Harry%20Hunsucker/167407/,Harry Hunsucker,http://www.sherdog.com/fighter/Harry-Hunsucker-239513
/fighter-profile/Blagoy%20Ivanov/50494/,Blagoy Ivanov,http://www.sherdog.com/fighter/Blagoy-Ivanov-50154
/fighter-profile/Cyril%20Asker/93336/,Cyril Asker,http://www.sherdog.com/fighter/Cyril-Asker-94411
/fighter-profile/Rashad%20Coulter/83882/,Rashad Coulter,http://www.sherdog.com/fighter/Rashad-Coulter-81719
/fighter-profile/Cain%20Velasquez/36943/,Cain Velasquez,http://www.sherdog.com/fighter/Cain-Velasquez-19102
/fighter-profile/Anthony%20Hamilton/60085/,Anthony Hamilton,http://www.sherdog.com/fighter/Anthony-Hamilton-58947
/fighter-profile/Bojan%20Mihajlovic/24329/,Bojan Mihajlovic,http://www.sherdog.com/fighter/Bojan-Mihajlovic-12400
/fighter-profile/Josh%20Hokit/287901/,Josh Hokit,http://www.sherdog.com/fighter/Josh-Hokit-433441
/fighter-profile/Rodrigo%20Nascimento/94733/,Rodrigo Nascimento,http://www.sherdog.com/fighter/Rodrigo-Nascimento-97975
/fighter-profile/Marcos%20Rogerio%20de%20Lima/52615/,Marcos Rogerio de Lima,http://www.sherdog.com/fighter/Marcos-Rogerio-de-Lima-51955
/fighter-profile/Mark%20Hunt/22621/,Mark Hunt,http://www.sherdog.com/fighter/Mark-Hunt-10668
/fighter-profile/Travis%20Browne/34679/,Travis Browne,http://www.sherdog.com/fighter/Travis-Browne-16785
/fighter-profile/Shamil%20Abdurakhimov/6990/,Shamil Abdurakhimov,http://www.sherdog.com/fighter/Shamil-Abdurakhimov-26808
/fighter-profile/Gabriel%20Gonzaga/13276/,Gabriel Gonzaga,http://www.sherdog.com/fighter/Gabriel-Gonzaga-7306
/fighter-profile/Damian%20Grabowski/16486/,Damian Grabowski,http://www.sherdog.com/fighter/Damian-Grabowski-30320
/fighter-profile/Viktor%20Pesta/76289/,Viktor Pesta,http://www.sherdog.com/fighter/Viktor-Pesta-74176
/fighter-profile/Shawn%20Jordan/45558/,Shawn Jordan,http://www.sherdog.com/fighter/Shawn-Jordan-45624
/fighter-profile/Ruan%20Potts/77784/,Ruan Potts,http://www.sherdog.com/fighter/Ruan-Potts-75842
/fighter-profile/Matt%20Mitrione/57672/,Matt Mitrione,http://www.sherdog.com/fighter/Matt-Mitrione-49519
/fighter-profile/Jack%20May/86125/,Jack May,http://www.sherdog.com/fighter/Jack-May-83949
/fighter-profile/Allen%20Crowder/126965/,Allen Crowder,http://www.sherdog.com/fighter/Allen-Crowder-157353
/fighter-profile/Junior%20Albini/69507/,Junior Albini,http://www.sherdog.com/fighter/Junior-Albini-67923
/fighter-profile/Ben%20Rothwell/2242/,Ben Rothwell,http://www.sherdog.com/fighter/Ben-Rothwell-2262
/fighter-profile/Frank%20Mir/2309/,Frank Mir,http://www.sherdog.com/fighter/Frank-Mir-2329
/fighter-profile/Shane%20Carwin/25919/,Shane Carwin,http://www.sherdog.com/fighter/Shane-Carwin-14013
/fighter-profile/Gilbert%20Yvel/320/,Gilbert Yvel,http://www.sherdog.com/fighter/Gilbert-Yvel-323
/fighter-profile/Mirko%20Filipovic/2306/,Mirko Filipovic,http://www.sherdog.com/fighter/Mirko-Filipovic-2326
/fighter-profile/Gokhan%20Saricam/192682/,Gokhan Saricam,http://www.sherdog.com/fighter/Gokhan-Saricam-291351
/fighter-profile/Aleksa%20Camur/162327/,Aleksa Camur,http://www.sherdog.com/fighter/Aleksa-Camur-228789
/fighter-profile/Philipe%20Lins/66469/,Philipe Lins,http://www.sherdog.com/fighter/Philipe-Lins-61438
/fighter-profile/Daniel%20Spitz/134498/,Daniel Spitz,http://www.sherdog.com/fighter/Daniel-Spitz-172211
/fighter-profile/Thomas%20Petersen/190733/,Thomas Petersen,http://www.sherdog.com/fighter/Thomas-Petersen-287525
/fighter-profile/Valter%20Walker/232575/,Valter Walker,http://www.sherdog.com/fighter/Valter-Walker-376023
/fighter-profile/Caio%20Machado/178127/,Caio Machado,http://www.sherdog.com/fighter/Caio-Machado-247161
