location,country,lat,lon,elevation,timezone,g_country
"Monterrey, Nuevo Leon, Mexico",Mexico,25.68435,-100.31721,560.0,America/Monterrey,Mexico
"Montevideo, Uruguay",Uruguay,-34.90328,-56.18816,34.0,America/Montevideo,Uruguay
"Montreal, Quebec, Canada",Canada,45.50884,-73.58781,216.0,America/Toronto,Canada
"Moscow, Moscow, Russia",Russia,55.75204,37.61781,155.0,Europe/Moscow,Russia
"Nashville, Tennessee, USA",United States,36.16589,-86.78444,170.0,America/Chicago,United States
"Natal, Rio Grande do Norte, Brazil",Brazil,-5.795,-35.20944,32.0,America/Fortaleza,Brazil
"New Orleans, Louisiana, USA",United States,29.9511,-90.0715,2.0,America/Chicago,United States
"New York City, New York, USA",United States,40.71427,-74.00597,10.0,America/New_York,United States
"Newark, New Jersey, USA",United States,40.73566,-74.17237,9.0,America/New_York,United States
"Newcastle, England, United Kingdom",United Kingdom,54.9783,-1.6178,30.0,Europe/London,United Kingdom
"Norfolk, Virginia, USA",United States,36.84681,-76.28522,2.0,America/New_York,United States
"Nottingham, England, United Kingdom",United Kingdom,52.9536,-1.15047,46.0,Europe/London,United Kingdom
"Oakland, California, USA",United States,37.80437,-122.2708,13.0,America/Los_Angeles,United States
"Oberhausen, North Rhine-Westphalia, Germany",Germany,51.47805,6.8625,44.0,Europe/Berlin,Germany
"Oklahoma City, Oklahoma, USA",United States,35.46756,-97.51643,366.0,America/Chicago,United States
"Omaha, Nebraska, USA",United States,41.25626,-95.94043,323.0,America/Chicago,United States
"Orlando, Florida, USA",United States,28.53834,-81.37924,30.0,America/New_York,United States
"Ottawa, Ontario, Canada",Canada,45.41117,-75.69812,71.0,America/Toronto,Canada
"Paris, Ile-de-France, France",France,48.85341,2.3488,42.0,Europe/Paris,France
"Perth, Western Australia, Australia",Australia,-31.95224,115.8614,34.0,Australia/Perth,Australia
"Philadelphia, Pennsylvania, USA",United States,39.95238,-75.16362,12.0,America/New_York,United States
"Phoenix, Arizona, USA",United States,33.44838,-112.07404,331.0,America/Phoenix,United States
"Pittsburgh, Pennsylvania, USA",United States,40.44062,-79.99589,233.0,America/New_York,United States
