event,event_url,date
UFC,/events/ufc-3156,2024-02-17
UFC 298,/events/ufc-298-3112,2024-02-18
UFC,/events/ufc-3162,2024-02-25
UFC,/events/ufc-3193,2024-03-02
UFC,/events/ufc-3157,2024-03-09
UFC 299,/events/ufc-299-3155,2024-03-10
UFC,/events/ufc-3192,2024-03-16
UFC,/events/ufc-3206,2024-03-17
UFC,/events/ufc-3202,2024-03-23
UFC,/events/ufc-3174,2024-03-24
UFC,/events/ufc-3225,2024-03-30
UFC,/events/ufc-3173,2024-03-31
UFC,/events/ufc-3230,2024-04-06
UFC,/events/ufc-3159,2024-04-13
UFC 300,/events/ufc-300-3205,2024-04-14
UFC,/events/ufc-3252,2024-04-27
UFC,/events/ufc-3260,2024-04-28
UFC,/events/ufc-3231,2024-05-04
UFC,/events/ufc-3271,2024-05-05
UFC,/events/ufc-3238,2024-05-11
UFC,/events/ufc-3278,2024-05-12
Road to UFC,/events/road-to-ufc-3305,2024-05-18
UFC,/events/ufc-3290,2024-05-18
Road to UFC,/events/road-to-ufc-3306,2024-05-19
UFC,/events/ufc-3270,2024-06-01
UFC,/events/ufc-3269,2024-06-02
UFC Fight Night,/events/ufc-fight-night-3313,2024-06-08
UFC,/events/ufc-3170,2024-06-09
UFC,/events/ufc-3318,2024-06-15
UFC,/events/ufc-3277,2024-06-22
UFC,/events/ufc-3161,2024-06-29
UFC 303,/events/ufc-303-3283,2024-06-30
UFC,/events/ufc-3336,2024-07-13
UFC Fight Night,/events/ufc-fight-night-3363,2024-07-14
UFC Fight Night,/events/ufc-fight-night-3373,2024-07-20
UFC Fight Night,/events/ufc-fight-night-3372,2024-07-21
UFC,/events/ufc-3374,2024-07-27
UFC,/events/ufc-3307,2024-07-28
UFC,/events/ufc-3320,2024-08-03
UFC,/events/ufc-3406,2024-08-10
UFC,/events/ufc-3407,2024-08-11
UFC,/events/ufc-3410,2024-08-17
UFC,/events/ufc-3350,2024-08-18
UFC,/events/ufc-3414,2024-08-24
Road to UFC,/events/road-to-ufc-3442,2024-08-24
UFC,/events/ufc-3441,2024-08-25
UFC,/events/ufc-3415,2024-09-07
UFC,/events/ufc-3362,2024-09-08
UFC 306,/events/ufc-306-3399,2024-09-14
UFC,/events/ufc-3371,2024-09-15
UFC,/events/ufc-3427,2024-09-28
UFC 307,/events/ufc-307-3449,2024-10-05
UFC,/events/ufc-3433,2024-10-06
UFC,/events/ufc-3500,2024-10-12
UFC Fight Night,/events/ufc-fight-night-3501,2024-10-13
UFC,/events/ufc-3513,2024-10-19
UFC,/events/ufc-3412,2024-10-26
UFC Fight Night,/events/ufc-fight-night-3450,2024-11-02
UFC Fight Night,/events/ufc-fight-night-3436,2024-11-03
UFC Fight Night,/events/ufc-fight-night-3531,2024-11-09
UFC,/events/ufc-3537,2024-11-10
UFC,/events/ufc-3538,2024-11-16
UFC,/events/ufc-3476,2024-11-17
UFC,/events/ufc-3549,2024-11-23
UFC,/events/ufc-3522,2024-12-08
UFC Fight Night,/events/ufc-fight-night-3544,2024-12-15
UFC Fight Night,/events/ufc-fight-night-3593,2025-01-11
UFC Fight Night,/events/ufc-fight-night-3586,2025-01-12
UFC 311,/events/ufc-311-3596,2025-01-18
UFC,/events/ufc-3570,2025-01-19
UFC,/events/ufc-3592,2025-02-01
UFC,/events/ufc-3617,2025-02-08
UFC,/events/ufc-3626,2025-02-09
UFC,/events/ufc-3630,2025-02-15
UFC,/events/ufc-3638,2025-02-16
UFC,/events/ufc-3604,2025-02-22
UFC,/events/ufc-3601,2025-02-23
UFC,/events/ufc-3642,2025-03-01
UFC,/events/ufc-3600,2025-03-02
UFC 313,/events/ufc-313-3650,2025-03-08
UFC,/events/ufc-3612,2025-03-09
UFC,/events/ufc-3655,2025-03-15
UFC Fight Night,/events/ufc-fight-night-3651,2025-03-16
UFC,/events/ufc-3578,2025-03-22
UFC Fight Night,/events/ufc-fight-night-3668,2025-03-29
UFC Fight Night,/events/ufc-fight-night-3667,2025-03-30
UFC,/events/ufc-3671,2025-04-05
UFC Fight Night,/events/ufc-fight-night-3676,2025-04-06
UFC,/events/ufc-3654,2025-04-12
UFC,/events/ufc-3611,2025-04-13
UFC Fight Night,/events/ufc-fight-night-3688,2025-04-26
UFC,/events/ufc-3656,2025-04-27
UFC Fight Night,/events/ufc-fight-night-3694,2025-05-03
UFC,/events/ufc-3665,2025-05-04
UFC 315,/events/ufc-315-3708,2025-05-10
UFC,/events/ufc-3644,2025-05-11
UFC,/events/ufc-3719,2025-05-17
UFC,/events/ufc-3722,2025-05-18
Road to UFC,/events/road-to-ufc-3734,2025-05-22
Road to UFC,/events/road-to-ufc-3735,2025-05-23
UFC,/events/ufc-3727,2025-05-31
UFC,/events/ufc-3741,2025-06-01
UFC 316,/events/ufc-316-3702,2025-06-07
UFC,/events/ufc-3684,2025-06-08
UFC Fight Night,/events/ufc-fight-night-3715,2025-06-14
UFC Fight Night,/events/ufc-fight-night-3716,2025-06-15
UFC Fight Night,/events/ufc-fight-night-3701,2025-06-21
UFC,/events/ufc-3726,2025-06-28
UFC,/events/ufc-3725,2025-06-29
UFC Fight Night,/events/ufc-fight-night-3748,2025-07-12
UFC Fight Night,/events/ufc-fight-night-3749,2025-07-13
UFC,/events/ufc-3706,2025-07-20
